top - 14:00:41 up 43 min,  1 user,  load average: 0.74, 0.68, 0.64
Tasks: 303 total,   2 running, 284 sleeping,   0 stopped,  17 zombie
%Cpu(s):  7.0 us,  2.3 sy,  0.0 ni, 89.9 id,  0.0 wa,  0.0 hi,  0.8 si,  0.0 st
MiB Mem :  15733.1 total,   8632.4 free,   2789.9 used,   4310.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  11764.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2084 shakti    20   0  896908  27680  20508 S   0.0   0.2   0:00.22 gsd-med+
   2081 shakti    20   0  341516  24440  18152 S   0.0   0.2   0:00.14 gsd-key+
   2080 shakti    20   0  311732   7620   6840 S   0.0   0.0   0:00.09 gsd-hou+
   2077 shakti    20   0  373624  16076  14128 S   0.0   0.1   0:00.01 gsd-dat+
   2076 shakti    20   0  574028  26280  19740 S   0.0   0.2   0:00.15 gsd-col+
   2075 shakti    20   0  309668   6604   6000 S   0.0   0.0   0:00.01 gsd-a11+
   2063 shakti    20   0  313964   7976   6904 S   0.0   0.0   0:00.03 gvfsd-t+
   2051 shakti    20   0 2930288  26392  21400 S   0.0   0.2   0:00.04 gjs
   2035 shakti    20   0  316736   9012   8008 S   0.0   0.1   0:00.10 gvfs-af+
   2029 shakti    20   0  235712   6120   5524 S   0.0   0.0   0:00.02 gvfs-mt+
   2028 shakti    20   0  681508  29332  25844 S   0.0   0.2   0:00.05 evoluti+
   2019 shakti    20   0  156356   5696   4900 S   0.0   0.0   0:00.02 dconf-s+
   2018 shakti    20   0  235888   6064   5528 S   0.0   0.0   0:00.01 gvfs-go+
   2010 shakti    20   0  238124   6572   5868 S   0.0   0.0   0:00.02 gvfs-gp+
   1999 shakti    20   0  313940   9384   7736 S   0.0   0.1   0:00.13 gvfs-ud+
   1995 shakti    20   0  314764   9012   7876 S   0.0   0.1   0:00.09 goa-ide+
   1985 shakti    20   0 1313948  30828  26428 S   0.0   0.2   0:00.11 evoluti+
   1982 shakti    20   0  553304  34788  28608 S   0.0   0.2   0:00.04 goa-dae+
   1974 shakti    20   0  390348  25384  21572 S   0.0   0.2   0:00.06 evoluti+
